,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue ID,Venue Latitude,Venue Longitude,Venue Category
217,Lenox Hill,40.76811265828733,-73.9588596881376,Via Quadronno,4a74c3aff964a52082df1fe3,40.77258149653772,-73.96527320930821,Café
218,Lenox Hill,40.76811265828733,-73.9588596881376,Due,3fd66200f964a520a0e91ee3,40.77463381076971,-73.95711571128723,Italian Restaurant
220,Lenox Hill,40.76811265828733,-73.9588596881376,Mezzaluna Restaurants,4a78f65ef964a520b7e61fe3,40.771352488755774,-73.95968198776245,Italian Restaurant
222,Lenox Hill,40.76811265828733,-73.9588596881376,Caffe Buon Gusto - Manhattan,4a6133a6f964a52015c21fe3,40.77249848070456,-73.9569944284568,Italian Restaurant
224,Lenox Hill,40.76811265828733,-73.9588596881376,Lusardi's,45e724b3f964a5205b431fe3,40.77248900265256,-73.95543742831367,Italian Restaurant
226,Lenox Hill,40.76811265828733,-73.9588596881376,Nello,4b048e66f964a5202a5522e3,40.76578655468747,-73.96983035317567,Italian Restaurant
227,Lenox Hill,40.76811265828733,-73.9588596881376,Bar Italia,4d840360d5fab60c7b25d99b,40.767856246526655,-73.96832300054497,Cocktail Bar
230,Lenox Hill,40.76811265828733,-73.9588596881376,Serafina Fabulous Pizza,4fc6b972e4b0824ae3757353,40.77621145486648,-73.96218656136645,Italian Restaurant
238,Lenox Hill,40.76811265828733,-73.9588596881376,Barbaresco Restaurant,4b660239f964a520120e2be3,40.765465679930095,-73.96574511791451,Italian Restaurant
241,Lenox Hill,40.76811265828733,-73.9588596881376,Maruzzella Ristorante,4b9ad6c1f964a520dcda35e3,40.771227161558244,-73.95352643269811,Italian Restaurant
242,Lenox Hill,40.76811265828733,-73.9588596881376,Quattro Gatti Ristorante,4b5260e2f964a520587a27e3,40.775449496601894,-73.95597669103729,Italian Restaurant
244,Lenox Hill,40.76811265828733,-73.9588596881376,Farinella Bakery,4cc86e4e94e1a093946f978b,40.774630391554716,-73.95914264384399,Pizza Place
245,Lenox Hill,40.76811265828733,-73.9588596881376,Canaletto,3fd66200f964a52087e91ee3,40.76189432642175,-73.96569191768275,Italian Restaurant
248,Lenox Hill,40.76811265828733,-73.9588596881376,Patsy's Pizzeria,4b41a1e9f964a520f8c725e3,40.76197868197651,-73.96568661696274,Pizza Place
250,Lenox Hill,40.76811265828733,-73.9588596881376,Morso NYC,4e83babe9a52bd4693c4c46f,40.75928524878532,-73.96049237372317,Italian Restaurant
251,Roosevelt Island,40.76215960576283,-73.94916769227953,La Crosta Restaurant & Gourmet Pizzeria,4c0fde4b81e976b0623c0eeb,40.76712542095526,-73.95433751846889,Pizza Place
254,Roosevelt Island,40.76215960576283,-73.94916769227953,Espressos Cafe,4cc0473773ef199c8161d9a2,40.761878967285156,-73.96066284179688,Italian Restaurant
